start_date_new,nhood,num_parking_meters,wday
2019-11-12,Bernal Heights,1117,3
2019-11-12,Castro/Upper Market,1737,3
2019-11-12,Chinatown,2327,3
2019-11-12,Excelsior,1071,3
2019-11-12,Financial District/South Beach,8258,3
2019-11-12,Glen Park,281,3
2019-11-12,Golden Gate Park,22,3
2019-11-12,Haight Ashbury,1280,3
2019-11-12,Hayes Valley,2498,3
2019-11-12,Inner Richmond,4301,3
2019-11-12,Inner Sunset,2052,3
2019-11-12,Japantown,1842,3
2019-11-12,Lakeshore,149,3
2019-11-12,Lone Mountain/USF,501,3
2019-11-12,Marina,4022,3
2019-11-12,Mission,8649,3
2019-11-12,Mission Bay,3378,3
2019-11-12,Nob Hill,2069,3
2019-11-12,Noe Valley,1389,3
2019-11-12,North Beach,2868,3
2019-11-12,Oceanview/Merced/Ingleside,208,3
2019-11-12,Outer Mission,1190,3
2019-11-12,Outer Richmond,3407,3
2019-11-12,Pacific Heights,2213,3
2019-11-12,Portola,597,3
2019-11-12,Potrero Hill,537,3
2019-11-12,Presidio Heights,2054,3
2019-11-12,Russian Hill,2129,3
2019-11-12,South of Market,4533,3
2019-11-12,Sunset/Parkside,4826,3
2019-11-12,Tenderloin,2296,3
2019-11-12,Visitacion Valley,125,3
2019-11-12,West of Twin Peaks,4188,3
2019-11-12,Western Addition,2113,3
2019-11-12,NA,1189,3
2019-11-13,Bayview Hunters Point,100,4
2019-11-13,Bernal Heights,1109,4
2019-11-13,Castro/Upper Market,1779,4
2019-11-13,Chinatown,2391,4
2019-11-13,Excelsior,918,4
2019-11-13,Financial District/South Beach,8198,4
2019-11-13,Glen Park,316,4
2019-11-13,Golden Gate Park,24,4
2019-11-13,Haight Ashbury,1333,4
2019-11-13,Hayes Valley,2584,4
2019-11-13,Inner Richmond,4411,4
2019-11-13,Inner Sunset,1973,4
2019-11-13,Japantown,1731,4
2019-11-13,Lakeshore,158,4
2019-11-13,Lone Mountain/USF,433,4
2019-11-13,Marina,4181,4
2019-11-13,Mission,8721,4
2019-11-13,Mission Bay,3185,4
2019-11-13,Nob Hill,2031,4
2019-11-13,Noe Valley,1401,4
2019-11-13,North Beach,2948,4
2019-11-13,Oceanview/Merced/Ingleside,199,4
2019-11-13,Outer Mission,952,4
2019-11-13,Outer Richmond,3392,4
2019-11-13,Pacific Heights,2007,4
2019-11-13,Portola,671,4
2019-11-13,Potrero Hill,547,4
2019-11-13,Presidio Heights,1924,4
2019-11-13,Russian Hill,2006,4
2019-11-13,South of Market,4650,4
2019-11-13,Sunset/Parkside,4524,4
2019-11-13,Tenderloin,2199,4
2019-11-13,Visitacion Valley,111,4
2019-11-13,West of Twin Peaks,4086,4
2019-11-13,Western Addition,2045,4
2019-11-13,NA,1255,4
2019-11-14,Bayview Hunters Point,94,5
2019-11-14,Bernal Heights,1075,5
2019-11-14,Castro/Upper Market,1644,5
2019-11-14,Chinatown,2277,5
2019-11-14,Excelsior,1086,5
2019-11-14,Financial District/South Beach,8260,5
2019-11-14,Glen Park,311,5
2019-11-14,Golden Gate Park,26,5
2019-11-14,Haight Ashbury,1282,5
2019-11-14,Hayes Valley,2454,5
2019-11-14,Inner Richmond,4563,5
2019-11-14,Inner Sunset,2004,5
2019-11-14,Japantown,1708,5
2019-11-14,Lakeshore,220,5
2019-11-14,Lone Mountain/USF,426,5
2019-11-14,Marina,4072,5
2019-11-14,Mission,8429,5
2019-11-14,Mission Bay,3272,5
2019-11-14,Nob Hill,2052,5
2019-11-14,Noe Valley,1398,5
2019-11-14,North Beach,2969,5
2019-11-14,Oceanview/Merced/Ingleside,223,5
2019-11-14,Outer Mission,1135,5
2019-11-14,Outer Richmond,3216,5
2019-11-14,Pacific Heights,1967,5
2019-11-14,Portola,549,5
2019-11-14,Potrero Hill,572,5
2019-11-14,Presidio Heights,1960,5
2019-11-14,Russian Hill,2056,5
2019-11-14,South of Market,4491,5
2019-11-14,Sunset/Parkside,4329,5
2019-11-14,Tenderloin,2278,5
2019-11-14,Visitacion Valley,97,5
2019-11-14,West of Twin Peaks,4411,5
2019-11-14,Western Addition,1988,5
2019-11-14,NA,1244,5
2019-11-15,Bayview Hunters Point,106,6
2019-11-15,Bernal Heights,1188,6
2019-11-15,Castro/Upper Market,1810,6
2019-11-15,Chinatown,2133,6
2019-11-15,Excelsior,1263,6
2019-11-15,Financial District/South Beach,8340,6
2019-11-15,Glen Park,378,6
2019-11-15,Golden Gate Park,28,6
2019-11-15,Haight Ashbury,1198,6
2019-11-15,Hayes Valley,2594,6
2019-11-15,Inner Richmond,4876,6
2019-11-15,Inner Sunset,2219,6
2019-11-15,Japantown,1824,6
2019-11-15,Lakeshore,185,6
2019-11-15,Lone Mountain/USF,488,6
2019-11-15,Marina,4232,6
2019-11-15,Mission,8723,6
2019-11-15,Mission Bay,3202,6
2019-11-15,Nob Hill,2121,6
2019-11-15,Noe Valley,1446,6
2019-11-15,North Beach,3243,6
2019-11-15,Oceanview/Merced/Ingleside,292,6
2019-11-15,Outer Mission,1208,6
2019-11-15,Outer Richmond,3672,6
2019-11-15,Pacific Heights,2291,6
2019-11-15,Portola,832,6
2019-11-15,Potrero Hill,514,6
2019-11-15,Presidio Heights,2043,6
2019-11-15,Russian Hill,2240,6
2019-11-15,South of Market,4712,6
2019-11-15,Sunset/Parkside,4511,6
2019-11-15,Tenderloin,2389,6
2019-11-15,Visitacion Valley,149,6
2019-11-15,West of Twin Peaks,4355,6
2019-11-15,Western Addition,2064,6
2019-11-15,NA,1557,6
2019-11-16,Bayview Hunters Point,99,7
2019-11-16,Bernal Heights,1238,7
2019-11-16,Castro/Upper Market,1727,7
2019-11-16,Chinatown,2268,7
2019-11-16,Excelsior,1105,7
2019-11-16,Financial District/South Beach,9010,7
2019-11-16,Glen Park,451,7
2019-11-16,Golden Gate Park,50,7
