start_date_new,zip,num_parking_meters,wday
2019-11-16,NA,1817,7
2019-11-18,94102,3880,2
2019-11-18,94103,5506,2
2019-11-18,94104,555,2
2019-11-18,94105,2406,2
2019-11-18,94107,5085,2
2019-11-18,94108,1416,2
2019-11-18,94109,5430,2
2019-11-18,94110,6885,2
2019-11-18,94111,3607,2
2019-11-18,94112,2368,2
2019-11-18,94114,2826,2
2019-11-18,94115,4407,2
2019-11-18,94116,1267,2
2019-11-18,94117,1831,2
2019-11-18,94118,7284,2
2019-11-18,94121,2772,2
2019-11-18,94122,5177,2
2019-11-18,94123,3922,2
2019-11-18,94124,59,2
2019-11-18,94127,3217,2
2019-11-18,94131,546,2
2019-11-18,94132,676,2
2019-11-18,94133,3716,2
2019-11-18,94134,940,2
2019-11-18,NA,1152,2
2019-11-19,94102,3853,3
2019-11-19,94103,5833,3
2019-11-19,94104,519,3
2019-11-19,94105,2458,3
2019-11-19,94107,5056,3
2019-11-19,94108,1450,3
2019-11-19,94109,5629,3
2019-11-19,94110,6983,3
2019-11-19,94111,3743,3
2019-11-19,94112,2479,3
2019-11-19,94114,2957,3
2019-11-19,94115,4741,3
2019-11-19,94116,1308,3
2019-11-19,94117,1921,3
2019-11-19,94118,7112,3
2019-11-19,94121,2865,3
2019-11-19,94122,5376,3
2019-11-19,94123,4133,3
2019-11-19,94124,79,3
2019-11-19,94127,3058,3
2019-11-19,94131,546,3
2019-11-19,94132,686,3
2019-11-19,94133,3676,3
2019-11-19,94134,864,3
2019-11-19,NA,1249,3
2019-11-20,94102,4047,4
2019-11-20,94103,5891,4
2019-11-20,94104,489,4
2019-11-20,94105,2480,4
2019-11-20,94107,5400,4
2019-11-20,94108,1536,4
2019-11-20,94109,5579,4
2019-11-20,94110,7191,4
2019-11-20,94111,3955,4
2019-11-20,94112,2278,4
2019-11-20,94114,2934,4
2019-11-20,94115,4677,4
2019-11-20,94116,1274,4
2019-11-20,94117,2091,4
2019-11-20,94118,7422,4
2019-11-20,94121,2949,4
2019-11-20,94122,5645,4
2019-11-20,94123,4221,4
2019-11-20,94124,95,4
2019-11-20,94127,3074,4
2019-11-20,94131,635,4
2019-11-20,94132,689,4
2019-11-20,94133,3672,4
2019-11-20,94134,1111,4
2019-11-20,NA,1286,4
2019-11-21,94102,3946,5
2019-11-21,94103,6039,5
2019-11-21,94104,479,5
2019-11-21,94105,2499,5
2019-11-21,94107,5396,5
2019-11-21,94108,1523,5
2019-11-21,94109,5632,5
2019-11-21,94110,7097,5
2019-11-21,94111,3792,5
2019-11-21,94112,2213,5
2019-11-21,94114,3024,5
2019-11-21,94115,4530,5
2019-11-21,94116,1229,5
2019-11-21,94117,2050,5
2019-11-21,94118,7187,5
2019-11-21,94121,3011,5
2019-11-21,94122,5391,5
2019-11-21,94123,4275,5
2019-11-21,94124,79,5
2019-11-21,94127,3138,5
2019-11-21,94131,594,5
2019-11-21,94132,752,5
2019-11-21,94133,3702,5
2019-11-21,94134,1189,5
2019-11-21,NA,1350,5
2019-11-22,94102,4036,6
2019-11-22,94103,5907,6
2019-11-22,94104,424,6
2019-11-22,94105,2495,6
2019-11-22,94107,5271,6
2019-11-22,94108,1509,6
2019-11-22,94109,5777,6
2019-11-22,94110,7530,6
2019-11-22,94111,3876,6
2019-11-22,94112,2528,6
2019-11-22,94114,3256,6
2019-11-22,94115,4727,6
2019-11-22,94116,1471,6
2019-11-22,94117,2133,6
2019-11-22,94118,7527,6
2019-11-22,94121,3192,6
2019-11-22,94122,6119,6
2019-11-22,94123,4218,6
2019-11-22,94124,94,6
2019-11-22,94127,3161,6
2019-11-22,94131,553,6
2019-11-22,94132,685,6
2019-11-22,94133,3873,6
2019-11-22,94134,1075,6
2019-11-22,NA,1602,6
2019-11-23,94102,4205,7
2019-11-23,94103,5051,7
2019-11-23,94104,594,7
2019-11-23,94105,3119,7
2019-11-23,94107,5183,7
2019-11-23,94108,2269,7
2019-11-23,94109,6517,7
2019-11-23,94110,8188,7
2019-11-23,94111,3496,7
2019-11-23,94112,2796,7
2019-11-23,94114,3292,7
2019-11-23,94115,4506,7
2019-11-23,94116,1579,7
2019-11-23,94117,2458,7
2019-11-23,94118,7363,7
2019-11-23,94121,3400,7
2019-11-23,94122,6334,7
2019-11-23,94123,4483,7
2019-11-23,94124,61,7
2019-11-23,94127,3520,7
2019-11-23,94131,617,7
2019-11-23,94132,500,7
2019-11-23,94133,4860,7
2019-11-23,94134,939,7
2019-11-23,NA,1848,7
2019-11-25,94102,4097,2
2019-11-25,94103,5899,2
2019-11-25,94104,494,2
2019-11-25,94105,2545,2
2019-11-25,94107,5210,2
2019-11-25,94108,1737,2
2019-11-25,94109,5899,2
2019-11-25,94110,7231,2
2019-11-25,94111,3876,2
2019-11-25,94112,2586,2
2019-11-25,94114,2960,2
2019-11-25,94115,4653,2
2019-11-25,94116,1482,2
2019-11-25,94117,2301,2
2019-11-25,94118,7395,2
2019-11-25,94121,2791,2
2019-11-25,94122,5806,2
2019-11-25,94123,4293,2
2019-11-25,94124,60,2
2019-11-25,94127,3207,2
2019-11-25,94131,568,2
2019-11-25,94132,574,2
2019-11-25,94133,4573,2
2019-11-25,94134,1030,2
2019-11-25,NA,1256,2
2019-11-26,94102,3967,3
2019-11-26,94103,5879,3
2019-11-26,94104,425,3
2019-11-26,94105,2265,3
2019-11-26,94107,4773,3
2019-11-26,94108,1444,3
2019-11-26,94109,5767,3
2019-11-26,94110,7249,3
2019-11-26,94111,3678,3
2019-11-26,94112,2997,3
2019-11-26,94114,3154,3
2019-11-26,94115,4696,3
2019-11-26,94116,1474,3
2019-11-26,94117,2230,3
2019-11-26,94118,7294,3
2019-11-26,94121,2735,3
2019-11-26,94122,5685,3
2019-11-26,94123,4177,3
2019-11-26,94124,69,3
2019-11-26,94127,3007,3
